,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
150,Bandarbeyla,SO,9.4942,50.8122,76.73,82,45,30.0,scattered clouds
151,Makakilo City,US,21.3469,-158.0858,76.19,71,0,9.22,clear sky
152,Hofn,IS,64.2539,-15.2082,52.54,85,30,4.74,scattered clouds
153,Teya,RU,60.3778,92.6267,55.89,95,100,7.4,light rain
154,Castro,BR,-24.7911,-50.0119,73.96,39,100,4.99,overcast clouds
155,San Quintin,MX,30.4833,-115.95,68.31,72,100,5.41,overcast clouds
156,Lewistown,US,40.5992,-77.5714,92.61,68,0,5.75,clear sky
157,Te Anau,NZ,-45.4167,167.7167,38.82,94,99,0.6,overcast clouds
158,Esfarayen,IR,37.0765,57.5101,78.46,48,0,11.99,clear sky
159,Manaure,CO,11.7751,-72.4445,89.76,49,4,17.76,clear sky
160,Nangwa,TZ,-4.4667,35.45,56.91,65,2,4.34,clear sky
161,Mount Isa,AU,-20.7333,139.5,46.17,71,0,0.0,clear sky
162,Baherden,TM,38.4362,57.4316,92.64,32,1,9.93,clear sky
163,Tula,RU,54.2044,37.6111,68.34,72,42,7.4,scattered clouds
164,Monrovia,LR,6.3005,-10.7969,78.57,75,95,10.04,overcast clouds
165,Paamiut,GL,61.994,-49.6678,44.01,89,1,1.32,clear sky
166,Tambun,ID,-6.2641,107.0712,81.48,88,86,2.91,overcast clouds
167,Weyburn,CA,49.6668,-103.8511,66.42,59,7,17.27,clear sky
168,Bambous Virieux,MU,-20.3428,57.7575,70.21,88,75,14.97,light rain
169,Chuy,UY,-33.6971,-53.4616,63.25,90,98,4.97,overcast clouds
170,Tura,IN,25.5198,90.2201,75.25,96,100,7.14,moderate rain
171,Havre-Saint-Pierre,CA,50.2334,-63.5986,77.36,57,0,8.05,clear sky
172,Mpika,ZM,-11.8343,31.4529,63.23,50,94,5.03,overcast clouds
173,Provideniya,RU,64.3833,-173.3,44.6,82,98,6.93,overcast clouds
174,Otradnoye,RU,59.7775,30.8181,73.96,86,97,5.03,overcast clouds
175,Hami,CN,42.8,93.45,87.33,21,24,15.05,few clouds
176,Vaini,TO,-21.2,-175.2,69.96,88,40,8.05,scattered clouds
177,Sakakah,SA,29.9697,40.2064,107.17,13,0,15.55,clear sky
178,Byron Bay,AU,-28.65,153.6167,54.95,85,57,11.7,broken clouds
179,Manta,EC,-0.95,-80.7333,74.98,78,100,9.22,overcast clouds
180,Nanortalik,GL,60.1432,-45.2371,45.54,87,60,9.37,broken clouds
181,Picos,BR,-7.0769,-41.4669,95.72,25,30,10.13,scattered clouds
182,Carnarvon,AU,-24.8667,113.6333,62.67,94,75,16.11,broken clouds
183,Zeya,RU,53.75,127.2667,63.12,75,4,3.51,clear sky
184,Clyde River,CA,70.4692,-68.5914,59.23,63,40,5.75,scattered clouds
185,San Isidro,PE,-12.1167,-77.05,62.19,77,75,6.91,broken clouds
186,Roma,US,43.2128,-75.4557,90.73,52,1,5.99,clear sky
187,Aasiaat,GL,68.7098,-52.8699,39.33,98,100,8.97,light rain
188,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,70,75,10.36,light rain
189,Baiyin,CN,36.5583,104.2081,72.55,56,15,3.38,few clouds
190,Sept-Iles,CA,50.2001,-66.3821,70.32,80,75,10.36,broken clouds
191,Bredasdorp,ZA,-34.5322,20.0403,52.88,67,73,5.75,broken clouds
192,Mus,TR,39.0,41.75,71.35,22,5,8.39,clear sky
193,Touros,BR,-5.1989,-35.4608,82.85,67,82,18.81,broken clouds
194,Sokolo,ML,14.7328,-6.1219,91.72,43,100,7.52,light rain
195,Kousseri,CM,12.0769,15.0306,89.56,58,40,6.91,scattered clouds
196,Praya,CV,14.9215,-23.5087,81.14,78,75,11.5,broken clouds
197,Geraldton,AU,-28.7667,114.6,59.67,65,91,24.74,overcast clouds
198,Angoche,MZ,-16.2325,39.9086,72.84,73,0,7.25,clear sky
199,Palapye,BW,-22.546,27.1251,67.21,37,17,7.74,few clouds
200,Ninghai,CN,29.2892,121.4247,81.61,75,4,4.45,clear sky
201,Katobu,ID,-4.9408,122.5276,72.0,88,33,5.66,scattered clouds
202,Sarakhs,IR,36.5449,61.1577,95.65,25,0,21.32,clear sky
203,Biryusinsk,RU,55.9634,97.8235,56.12,96,85,8.14,overcast clouds
204,Christchurch,NZ,-43.5333,172.6333,43.09,81,100,5.82,overcast clouds
205,Fortuna,US,40.5982,-124.1573,60.93,84,44,1.99,scattered clouds
206,Lepley,RU,54.3092,42.8599,67.32,76,42,4.25,scattered clouds
207,Kutum,SD,14.2,24.6667,89.1,26,75,5.64,broken clouds
208,Honiara,SB,-9.4333,159.95,76.33,89,14,4.16,few clouds
209,Lorengau,PG,-2.0226,147.2712,81.5,80,9,7.23,clear sky
210,Nouakchott,MR,18.0858,-15.9785,79.59,80,45,12.91,moderate rain
211,Gizo,SB,-8.103,156.8419,81.54,77,9,9.4,clear sky
212,Belyy Yar,RU,53.6039,91.3903,57.85,100,15,4.47,few clouds
213,Sfintesti,RO,44.1833,25.1,96.3,14,1,1.88,clear sky
214,Scottsbluff,US,41.8666,-103.6672,86.07,21,48,19.39,scattered clouds
215,Dzhebariki-Khaya,RU,62.2167,135.8,61.34,97,40,2.24,scattered clouds
216,Kruisfontein,ZA,-34.0033,24.7314,52.88,78,79,16.87,broken clouds
217,Santa Cruz Cabralia,BR,-16.2781,-39.0247,77.23,78,75,11.5,broken clouds
218,Dzaoudzi,YT,-12.7887,45.2699,73.29,78,20,3.44,few clouds
219,Beyneu,KZ,45.3167,55.2,86.49,27,35,18.3,scattered clouds
220,Russell,US,32.3502,-85.1999,89.96,78,75,0.0,broken clouds
221,Pacific Grove,US,36.6177,-121.9166,62.2,91,100,13.0,haze
