,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Touros,BR,-5.1989,-35.4608,81.79,71,99,18.61,overcast clouds
205,Nouadhibou,MR,20.931,-17.0347,71.35,92,10,15.41,clear sky
206,Batemans Bay,AU,-35.7167,150.1833,52.11,93,94,3.98,overcast clouds
207,Trat,TH,12.5,102.5,81.88,87,100,0.69,overcast clouds
208,Nattarasankottai,IN,9.8667,78.5667,83.52,72,97,3.69,light rain
209,Scottsbluff,US,41.8666,-103.6672,85.59,24,57,18.03,broken clouds
210,Pacific Grove,US,36.6177,-121.9166,62.28,90,75,11.01,haze
211,Sao Filipe,CV,14.8961,-24.4956,77.38,85,75,6.89,light rain
212,Plettenberg Bay,ZA,-34.0527,23.3716,54.52,74,50,13.02,light rain
213,Naze,JP,28.3667,129.4833,76.12,76,100,2.1,overcast clouds
214,Bacalar,MX,18.6667,-88.3833,77.05,92,100,4.97,overcast clouds
215,Gumdag,TM,39.2061,54.5906,85.1,42,0,17.87,clear sky
216,Guerrero Negro,MX,27.9769,-114.0611,73.56,64,91,15.19,overcast clouds
217,Luanda,AO,-8.8368,13.2343,69.8,88,75,3.44,broken clouds
218,Acapulco,MX,16.8634,-99.8901,86.54,66,99,4.07,overcast clouds
219,Esperance,AU,-33.8667,121.9,51.64,90,100,19.71,overcast clouds
220,Natal,BR,-5.795,-35.2094,80.44,74,96,15.01,overcast clouds
221,Kahului,US,20.8947,-156.47,77.13,68,7,10.09,clear sky
222,Berlevag,NO,70.8578,29.0864,53.4,87,100,12.66,overcast clouds
223,Tzaneen,ZA,-23.8332,30.1635,64.02,53,71,3.44,broken clouds
224,Derzhavinsk,KZ,51.1,66.3167,68.97,54,69,6.85,broken clouds
225,Belmonte,BR,-15.8631,-38.8828,74.55,84,51,9.24,broken clouds
226,Niigata,JP,37.9022,139.0236,68.92,91,79,4.99,broken clouds
227,Korla,CN,41.7597,86.1469,89.55,16,0,4.88,clear sky
228,Roma,US,43.2128,-75.4557,91.72,49,0,6.91,clear sky
229,Bonavista,CA,48.6499,-53.1147,65.12,93,100,6.64,overcast clouds
230,Caluquembe,AO,-13.7833,14.6833,65.73,30,77,4.09,broken clouds
231,Mount Isa,AU,-20.7333,139.5,44.37,70,0,1.14,clear sky
232,Panalingaan,PH,8.7842,117.4231,78.57,87,40,2.26,scattered clouds
233,Saldanha,ZA,-33.0117,17.9442,51.85,65,0,19.13,clear sky
234,Rincon,US,32.296,-81.2354,90.95,35,9,4.63,clear sky
235,Tabas,IR,33.5959,56.9244,99.34,11,0,15.39,clear sky
236,Yulara,AU,-25.2406,130.9889,58.93,38,0,6.4,clear sky
237,Paso De Carrasco,UY,-34.8603,-56.0522,66.65,88,75,11.5,broken clouds
238,Yarada,IN,17.65,83.2667,82.72,78,40,3.44,mist
239,At-Bashi,KG,41.1702,75.8106,64.47,38,0,1.43,clear sky
240,Scarborough,GB,54.2797,-0.4044,72.97,66,98,5.99,overcast clouds
241,Surgut,RU,61.25,73.4167,51.98,87,40,8.99,scattered clouds
242,Mehamn,NO,71.0357,27.8492,51.75,93,100,16.11,overcast clouds
243,Waingapu,ID,-9.6567,120.2641,70.16,79,53,8.12,broken clouds
244,Kaitangata,NZ,-46.2817,169.8464,33.69,88,18,3.13,few clouds
245,Ancud,CL,-41.8697,-73.8203,47.23,89,100,4.27,light rain
246,Mahanje,TZ,-9.9333,35.3333,61.21,74,92,1.83,overcast clouds
247,Khatanga,RU,71.9667,102.5,46.53,96,75,12.5,broken clouds
248,Colac,AU,-38.3333,143.5833,49.84,97,53,2.73,broken clouds
249,Lorengau,PG,-2.0226,147.2712,81.34,80,8,6.69,clear sky
250,Sao Luis De Montes Belos,BR,-16.525,-50.3722,89.26,19,0,5.21,clear sky
251,Hualmay,PE,-11.0964,-77.6139,65.89,74,81,8.9,broken clouds
252,Broome,US,42.2506,-75.833,93.02,42,14,14.0,few clouds
253,Koppang,NO,61.5706,11.0555,65.95,61,98,1.97,overcast clouds
254,Cururupu,BR,-1.8283,-44.8683,87.98,53,100,5.88,overcast clouds
255,Puerto Varas,CL,-41.3195,-72.9854,50.88,87,73,9.24,broken clouds
256,Aitape,PG,-3.1374,142.3475,77.36,90,20,3.83,few clouds
257,Lompoc,US,34.6391,-120.4579,74.41,46,0,9.24,clear sky
258,Saint Anthony,US,45.0205,-93.218,76.6,72,100,13.8,thunderstorm
259,Eyl,SO,7.9803,49.8164,77.11,80,93,26.75,overcast clouds
260,Husavik,IS,66.0449,-17.3389,51.3,74,62,6.38,broken clouds
261,Bongandanga,CD,1.5,21.05,72.75,87,65,0.29,light rain
262,Rongcheng,CN,30.634,117.8517,75.24,92,79,0.81,broken clouds
263,Bhubaneswar,IN,20.2333,85.8333,80.82,100,40,3.44,haze
264,Jertih,MY,5.7336,102.4897,76.24,90,85,2.24,overcast clouds
265,Port Hedland,AU,-20.3167,118.5667,64.45,63,0,10.36,clear sky
266,Rio Grande,BR,-32.035,-52.0986,71.71,91,94,7.63,overcast clouds
267,Mahibadhoo,MV,3.7833,72.9667,83.17,74,96,14.03,overcast clouds
268,Cabanas,CU,22.9758,-82.9219,88.7,60,100,11.03,light rain
269,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.15,71,0,14.52,clear sky
270,Nhulunbuy,AU,-12.2333,136.7667,66.81,88,36,0.0,scattered clouds
271,Korem,ET,12.5058,39.5228,64.27,66,67,4.88,moderate rain
272,Titisee-Neustadt,DE,47.9,8.1667,67.64,69,69,2.86,broken clouds
273,Luderitz,NA,-26.6481,15.1594,62.58,60,0,26.4,clear sky
274,Olafsvik,IS,64.8945,-23.7142,52.79,78,91,10.13,overcast clouds
275,Ossora,RU,59.2353,163.0719,48.42,82,3,9.08,clear sky
276,Meulaboh,ID,4.1363,96.1285,78.04,87,99,7.78,overcast clouds
277,Ahipara,NZ,-35.1667,173.1667,55.45,84,100,15.01,moderate rain
278,Te Anau,NZ,-45.4167,167.7167,37.18,94,94,0.81,overcast clouds
279,Wright,US,45.1833,-93.9502,73.49,88,0,19.57,clear sky
280,Dekar,BW,-21.5333,21.9333,63.7,35,10,5.86,clear sky
281,Maastricht,NL,50.8483,5.6889,80.33,49,83,5.01,broken clouds
282,Constitucion,CL,-35.3333,-72.4167,57.42,79,100,3.47,overcast clouds
283,Camocim,BR,-2.9022,-40.8411,85.26,61,48,11.97,scattered clouds
284,Butembo,CD,0.15,29.2833,58.28,93,38,2.64,scattered clouds
285,Severnoye,RU,56.3491,78.3619,54.03,98,99,5.61,light rain
286,Pontes E Lacerda,BR,-15.2261,-59.3353,97.74,17,39,3.96,scattered clouds
287,Huilong,CN,31.8111,121.655,75.52,88,26,7.38,scattered clouds
288,Seoul,KR,37.5683,126.9778,74.64,94,100,8.05,overcast clouds
289,Balabac,PH,7.9868,117.0645,81.18,77,40,3.87,scattered clouds
290,Cabra,ES,37.4725,-4.4421,102.18,9,0,11.43,clear sky
291,Ilulissat,GL,69.2167,-51.1,39.49,98,100,3.76,light rain
292,Itarema,BR,-2.9248,-39.9167,85.37,60,31,18.25,scattered clouds
293,Santa Cruz Cabralia,BR,-16.2781,-39.0247,75.99,73,42,8.23,scattered clouds
294,Yar-Sale,RU,66.8333,70.8333,51.3,82,98,17.47,overcast clouds
295,Micheweni,TZ,-4.9667,39.8333,74.21,76,15,12.82,few clouds
296,Matara,LK,5.9485,80.5353,78.33,87,84,13.11,broken clouds
297,Mount Pleasant,US,32.7941,-79.8626,88.39,61,28,12.26,scattered clouds
298,Tiarei,PF,-17.5333,-149.3333,75.22,79,13,15.01,light rain
299,Vilyuysk,RU,63.7553,121.6247,61.11,83,35,2.93,scattered clouds
300,Labuhan,ID,-6.8844,112.2051,76.21,85,78,6.64,broken clouds
